timestamp;session_duration;calm_probability;focus_probability;delta;theta;alpha;beta;gamma;eeg_CP3;eeg_C3;eeg_F5;eeg_PO3;eeg_PO4;eeg_F6;eeg_C4;eeg_CP4
2025-07-03T12:00:38.576955;5.28;0.3800599057992651;0.2554247669030391;12.936;8.9;2.434;3.212;0.679;0.04;-3.049;-0.944;18.003;10.965;-0.316;33.069;-3.31
2025-07-03T12:00:38.630476;5.33;0.3800599057992651;0.2554247669030391;12.936;8.9;2.434;3.212;0.679;2.79;4.224;1.618;12.059;-5.6;4.091;2.585;7.46
2025-07-03T12:00:38.709518;5.41;0.3800599057992651;0.2554247669030391;12.936;8.9;2.434;3.212;0.679;-10.896;-1.521;-0.245;-61.838;-29.886;-0.487;-91.795;-2.876
2025-07-03T12:00:38.762937;5.47;0.3800599057992651;0.2554247669030391;12.936;8.9;2.434;3.212;0.679;4.623;-1.918;-2.881;44.131;26.856;-0.338;29.258;-1.601
2025-07-03T12:00:38.814608;5.52;0.3800599057992651;0.2554247669030391;12.936;8.9;2.434;3.212;0.679;2.936;1.573;-0.812;49.841;16.821;-3.316;76.481;1.205
2025-07-03T12:00:38.866793;5.57;0.3800599057992651;0.2554247669030391;12.936;8.9;2.434;3.212;0.679;0.304;-0.723;-0.596;-10.236;-5.542;-3.534;17.928;-3.393
2025-07-03T12:00:38.932316;5.64;0.3800599057992651;0.2554247669030391;12.936;8.9;2.434;3.212;0.679;-1.814;2.171;0.728;-64.992;-27.705;5.005;-57.229;5.938
2025-07-03T12:00:38.984177;5.69;0.3800599057992651;0.2554247669030391;12.936;8.9;2.434;3.212;0.679;-5.218;-0.342;1.403;-60.365;-19.488;3.652;-88.992;1.193
2025-07-03T12:00:39.037748;5.74;0.2496238171980204;0.2554247669030391;12.936;8.9;2.434;3.212;0.679;-5.218;-0.342;1.403;-60.365;-19.488;3.652;-88.992;1.193
2025-07-03T12:00:39.089164;5.79;0.2496238171980204;0.21243722689911165;12.936;8.9;2.434;3.212;0.679;-5.218;-0.342;1.403;-60.365;-19.488;3.652;-88.992;1.193
2025-07-03T12:00:39.090165;5.79;0.2496238171980204;0.21243722689911165;11.05;10.865;5.83;3.794;0.688;-5.218;-0.342;1.403;-60.365;-19.488;3.652;-88.992;1.193
2025-07-03T12:00:39.092181;5.8;0.2496238171980204;0.21243722689911165;11.05;10.865;5.83;3.794;0.688;3.289;-2.654;2.46;28.905;21.949;-1.214;12.704;-1.138
2025-07-03T12:00:39.145218;5.85;0.2496238171980204;0.21243722689911165;3.992;2.866;5.25;4.371;0.544;3.289;-2.654;2.46;28.905;21.949;-1.214;12.704;-1.138
2025-07-03T12:00:39.148220;5.85;0.2496238171980204;0.21243722689911165;3.992;2.866;5.25;4.371;0.544;2.592;-2.242;-3.234;43.655;13.254;-3.219;64.976;-3.995
2025-07-03T12:00:39.149221;5.85;0.2496238171980204;0.21243722689911165;3.992;2.866;5.25;4.371;0.544;4.773;2.353;0.314;63.507;21.106;-1.387;72.399;-2.177
2025-07-03T12:00:39.201705;5.9;0.2496238171980204;0.21243722689911165;3.992;2.866;5.25;4.371;0.544;3.166;1.486;-0.029;24.754;5.487;2.03;16.043;-1.932
2025-07-03T12:00:39.255218;5.96;0.2496238171980204;0.21243722689911165;3.992;2.866;5.25;4.371;0.544;-16.457;2.295;0.492;-89.115;-31.95;0.192;-116.278;3.493
